Date,US_Open,US_Close_prev,US_High_prev,US_Low_prev,US_range_prev,HK_Close,HK_Open_prev,HK_High_prev,HK_Low_prev,HK_range_prev,VIX,SP500,HSI,US_Volume_prev,HK_Volume_prev,Treasury_Yield,US_MA20,HK_MA20,RSI_US,US_HK_Ratio
2019-12-06 00:00:00+00:00,201.11000061035156,201.88999938964844,202.0,199.50999450683594,2.4900054931640625,202.56410256410257,201.12821138822116,203.1794934395032,200.4102501502404,2.7692432892628176,14.520000457763672,3117.429931640625,26217.0390625,14087300.0,19205791.0,1.7970000505447388,210.1010009765625,216.36923061273038,80.7864543854026,1.001234706479428
2019-12-09 00:00:00+00:00,200.32000732421875,201.88999938964844,202.0,199.50999450683594,2.4900054931640625,201.64103190104166,201.12821138822116,203.1794934395032,200.4102501502404,2.7692432892628176,13.619999885559082,3145.909912109375,26498.369140625,14087300.0,19205791.0,1.8420000076293945,210.1010009765625,216.36923061273038,80.7864543854026,1.001234706479428
2019-12-10 00:00:00+00:00,200.7100067138672,198.74000549316406,203.42999267578125,198.5500030517578,4.8799896240234375,200.4102501502404,202.05128205128204,203.3846185146234,201.02564102564102,2.35897748898239,15.859999656677246,3135.9599609375,26494.73046875,14258100.0,8558132.0,1.8289999961853027,210.1010009765625,216.36923061273038,80.7864543854026,0.9916658721007323
2019-12-11 00:00:00+00:00,201.10000610351562,200.4499969482422,202.47999572753906,199.22999572753906,3.25,202.6666729266827,200.0,201.53846153846155,198.66666353665866,2.871798001802887,15.680000305175781,3132.52001953125,26436.619140625,11623900.0,6639899.0,1.8329999446868896,210.1010009765625,216.36923061273038,80.7864543854026,0.9890624543915889
2019-12-12 00:00:00+00:00,203.7100067138672,204.63999938964844,204.8000030517578,200.72000122070312,4.0800018310546875,205.33333020332532,201.23076610076123,203.48717322716345,200.4102501502404,3.076923076923066,14.989999771118164,3141.6298828125,26645.4296875,11760000.0,6534411.0,1.7899999618530273,210.1010009765625,216.36923061273038,80.7864543854026,0.9966233888429592
2019-12-13 00:00:00+00:00,205.75999450683594,204.5,206.0,202.0,4.0,207.17948717948718,204.71795497796475,206.35897122896634,204.71795497796475,1.641016251001588,13.9399995803833,3168.570068359375,26994.140625,22448600.0,8825275.0,1.8969999551773071,210.1010009765625,216.36923061273038,80.7864543854026,0.9870668316831683
2019-12-16 00:00:00+00:00,206.3300018310547,204.91000366210938,207.10000610351562,203.77000427246094,3.3300018310546875,206.15384615384616,208.00000313000803,208.2051282051282,204.5128142528045,3.692313952323701,12.630000114440918,3168.800048828125,27687.759765625,19270400.0,18576570.0,1.819000005722046,210.1010009765625,216.36923061273038,80.7864543854026,0.9939664356744111
2019-12-17 00:00:00+00:00,208.69000244140625,206.97000122070312,209.14999389648438,206.19000244140625,2.959991455078125,209.02564415564905,206.7692370292468,208.00000313000803,205.12820512820514,2.871798001802887,12.140000343322754,3191.449951171875,27508.08984375,16734300.0,6616578.0,1.8919999599456787,210.1010009765625,216.36923061273038,80.7864543854026,0.990165594545829
2019-12-18 00:00:00+00:00,208.52999877929688,208.17999267578125,208.8699951171875,206.82000732421875,2.04998779296875,207.79487805488782,208.4102532802484,211.0769262069311,207.3846122546074,3.692313952323701,12.289999961853027,3192.52001953125,27843.7109375,11287600.0,11225195.0,1.8890000581741333,210.1010009765625,216.36923061273038,80.7864543854026,1.0018533402964422
2019-12-19 00:00:00+00:00,209.61000061035156,210.0,210.0500030517578,208.0399932861328,2.010009765625,210.05128518129007,209.02564415564905,209.02564415564905,206.7692370292468,2.2564071264022516,12.579999923706055,3191.139892578125,27884.2109375,13481800.0,8179646.0,1.9240000247955322,210.1010009765625,216.36923061273038,80.7864543854026,0.999755844477477
